daily_fecha,daily_depto,daily_total_confirmados,daily_total_activos,daily_total_decesos,daily_total_recuperados,daily_delta_confirmados,daily_delta_activos,daily_delta_decesos,daily_delta_recuperados
2020-03-10,BN,0,0,0,0,0,0,0,0
2020-03-11,BN,0,0,0,0,0,0,0,0
2020-03-12,BN,0,0,0,0,0,0,0,0
2020-03-13,BN,0,0,0,0,0,0,0,0
2020-03-14,BN,0,0,0,0,0,0,0,0
2020-03-15,BN,0,0,0,0,0,0,0,0
2020-03-16,BN,0,0,0,0,0,0,0,0
2020-03-17,BN,0,0,0,0,0,0,0,0
2020-03-18,BN,0,0,0,0,0,0,0,0
2020-03-19,BN,0,0,0,0,0,0,0,0
2020-03-20,BN,0,0,0,0,0,0,0,0
2020-03-21,BN,0,0,0,0,0,0,0,0
2020-03-22,BN,0,0,0,0,0,0,0,0
2020-03-23,BN,0,0,0,0,0,0,0,0
2020-03-24,BN,0,0,0,0,0,0,0,0
2020-03-25,BN,0,0,0,0,0,0,0,0
2020-03-26,BN,0,0,0,0,0,0,0,0
2020-03-27,BN,0,0,0,0,0,0,0,0
2020-03-28,BN,0,0,0,0,0,0,0,0
2020-03-29,BN,0,0,0,0,0,0,0,0
2020-03-30,BN,0,0,0,0,0,0,0,0
2020-03-31,BN,0,0,0,0,0,0,0,0
2020-04-01,BN,0,0,0,0,0,0,0,0
2020-04-02,BN,0,0,0,0,0,0,0,0
2020-04-03,BN,0,0,0,0,0,0,0,0
2020-04-04,BN,0,0,0,0,0,0,0,0
2020-04-05,BN,0,0,0,0,0,0,0,0
2020-04-06,BN,0,0,0,0,0,0,0,0
2020-04-07,BN,0,0,0,0,0,0,0,0
2020-04-08,BN,0,0,0,0,0,0,0,0
2020-04-09,BN,0,0,0,0,0,0,0,0
2020-04-10,BN,0,0,0,0,0,0,0,0
2020-04-11,BN,0,0,0,0,0,0,0,0
2020-04-12,BN,0,0,0,0,0,0,0,0
2020-04-13,BN,0,0,0,0,0,0,0,0
2020-04-14,BN,0,0,0,0,0,0,0,0
2020-04-15,BN,0,0,0,0,0,0,0,0
2020-04-16,BN,0,0,0,0,0,0,0,0
2020-04-17,BN,0,0,0,0,0,0,0,0
2020-04-18,BN,0,0,0,0,0,0,0,0
2020-04-19,BN,0,0,0,0,0,0,0,0
2020-04-20,BN,2,2,0,0,2,2,0,0
2020-04-21,BN,2,1,1,0,0,-1,1,0
2020-04-22,BN,2,1,1,0,0,0,0,0
2020-04-23,BN,2,1,1,0,0,0,0,0
2020-04-24,BN,33,32,1,0,31,31,0,0
2020-04-25,BN,39,38,1,0,6,6,0,0
2020-04-26,BN,57,56,1,0,18,18,0,0
2020-04-27,BN,62,61,1,0,5,5,0,0
2020-04-28,BN,63,62,1,0,1,1,0,0
2020-04-29,BN,67,66,1,0,4,4,0,0
2020-04-30,BN,67,66,1,0,0,0,0,0
2020-05-01,BN,83,80,3,0,16,14,2,0
2020-05-02,BN,191,187,4,0,108,107,1,0
2020-05-03,BN,212,206,6,0,21,19,2,0
2020-05-04,BN,212,206,6,0,0,0,0,0
2020-05-05,BN,212,205,7,0,0,-1,1,0
2020-05-06,BN,212,204,8,0,0,-1,1,0
2020-05-07,BN,231,215,16,0,19,11,8,0
2020-05-08,BN,312,292,19,1,81,77,3,1
2020-05-09,BN,312,288,23,1,0,-4,4,0
2020-05-10,BN,314,290,23,1,2,2,0,0
2020-05-11,BN,389,363,25,1,75,73,2,0
2020-05-12,BN,389,362,26,1,0,-1,1,0
2020-05-13,BN,436,406,29,1,47,44,3,0
2020-05-14,BN,509,473,35,1,73,67,6,0
2020-05-15,BN,548,508,39,1,39,35,4,0
2020-05-16,BN,551,508,39,4,3,0,0,3
2020-05-17,BN,551,507,40,4,0,-1,1,0
2020-05-18,BN,581,536,41,4,30,29,1,0
2020-05-19,BN,679,628,47,4,98,92,6,0
2020-05-20,BN,833,775,54,4,154,147,7,0
2020-05-21,BN,902,841,57,4,69,66,3,0
2020-05-22,BN,1015,945,66,4,113,104,9,0
2020-05-23,BN,1097,1026,67,4,82,81,1,0
2020-05-24,BN,1097,1022,71,4,0,-4,4,0
2020-05-25,BN,1142,1063,72,7,45,41,1,3
2020-05-26,BN,1242,1157,77,8,100,94,5,1
2020-05-27,BN,1355,1267,80,8,113,110,3,0
2020-05-28,BN,1506,1414,84,8,151,147,4,0
2020-05-29,BN,1576,1482,86,8,70,68,2,0
2020-05-30,BN,1707,1610,89,8,131,128,3,0
2020-05-31,BN,1809,1709,92,8,102,99,3,0
2020-06-01,BN,1885,1785,92,8,76,76,0,0
2020-06-02,BN,1965,1859,98,8,80,74,6,0
2020-06-03,BN,2101,1987,104,10,136,128,6,2
2020-06-04,BN,2278,2155,109,14,177,168,5,4
2020-06-05,BN,2428,2299,114,15,150,144,5,1
2020-06-06,BN,2472,2338,118,16,44,39,4,1
2020-03-10,CB,0,0,0,0,0,0,0,0
2020-03-11,CB,0,0,0,0,0,0,0,0
2020-03-12,CB,0,0,0,0,0,0,0,0
2020-03-13,CB,1,1,0,0,1,1,0,0
2020-03-14,CB,1,1,0,0,0,0,0,0
2020-03-15,CB,1,1,0,0,0,0,0,0
2020-03-16,CB,1,1,0,0,0,0,0,0
2020-03-17,CB,1,1,0,0,0,0,0,0
2020-03-18,CB,1,1,0,0,0,0,0,0
2020-03-19,CB,2,2,0,0,1,1,0,0
2020-03-20,CB,2,2,0,0,0,0,0,0
2020-03-21,CB,2,2,0,0,0,0,0,0
2020-03-22,CB,3,3,0,0,1,1,0,0
2020-03-23,CB,3,3,0,0,0,0,0,0
2020-03-24,CB,3,3,0,0,0,0,0,0
2020-03-25,CB,3,3,0,0,0,0,0,0
2020-03-26,CB,10,10,0,0,7,7,0,0
2020-03-27,CB,14,14,0,0,4,4,0,0
2020-03-28,CB,14,14,0,0,0,0,0,0
2020-03-29,CB,18,18,0,0,4,4,0,0
2020-03-30,CB,20,20,0,0,2,2,0,0
2020-03-31,CB,20,20,0,0,0,0,0,0
2020-04-01,CB,21,21,0,0,1,1,0,0
2020-04-02,CB,22,22,0,0,1,1,0,0
2020-04-03,CB,24,24,0,0,2,2,0,0
2020-04-04,CB,25,25,0,0,1,1,0,0
2020-04-05,CB,33,32,1,0,8,7,1,0
2020-04-06,CB,33,31,2,0,0,-1,1,0
2020-04-07,CB,38,36,2,0,5,5,0,0
2020-04-08,CB,47,45,2,0,9,9,0,0
2020-04-09,CB,48,46,2,0,1,1,0,0
2020-04-10,CB,48,46,2,0,0,0,0,0
2020-04-11,CB,49,45,4,0,1,-1,2,0
